label,text
ham,"Hey, are we meeting today?"
spam,"WIN a free iPhone!!! Click now"
ham,"Can you send me the report by 5 PM?"
spam,"Congratulations! You've won a $1000 gift card. Call now!"
ham,"Let's grab lunch tomorrow."
spam,"Urgent: Your account has been compromised. Click to reset password."
ham,"Happy Birthday! Hope you have a great day."
spam,"Cheap meds! No prescription needed. Order today."
ham,"Did you see the game last night?"
spam,"Make money fast! Work from home and earn $$$."
ham,"Please review the attached document."
spam,"Hot singles in your area waiting to chat!"
ham,"I'll be late for the meeting, sorry."
spam,"You are the 1,000,000th visitor! Claim your prize."
ham,"What time is the party starting?"
spam,"Exclusive offer! 50% off if you buy now."
ham,"Thanks for your help yesterday."
spam,"Your subscription is expiring. Renew now to keep access."
ham,"Have a safe flight!"
spam,"Double your income with this simple trick."
